track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain,time_signature,tempo
clarks-somebodylovesme-chambersplandersw-1958-ca91d59c,/scratch/rht9410/jtd_data/clarks-somebodylovesme-chambersplandersw-1958-ca91d59c.wav,380,381,95,108,0.341,ok,0.9986357435197818,0.9568733320191898,1.0,0.997275204359673,,,,,0.604075719644041,0.2959183673469387,0.2850533243150148,0.0,0.2761904761904762,,,,,0.6262474827470614,4,166.0213676167343
clarks-sonia-duviviergroachm-1959-73cb7206,/scratch/rht9410/jtd_data/clarks-sonia-duviviergroachm-1959-73cb7206.wav,655,652,164,163,0.405,ok,0.9873817034700316,0.9400843876666024,1.0,0.9811023622047244,,,,,0.5289835255969774,0.9211356466876972,0.8849235480783577,1.0,0.9245283018867924,,,,,0.7366338871724447,4,240.2459722463711
clarks-sonnyscrib-duviviergroachm-1959-133e5186,/scratch/rht9410/jtd_data/clarks-sonnyscrib-duviviergroachm-1959-133e5186.wav,917,910,229,246,0.579,ok,0.9737283398546672,0.894615785597981,1.0,0.9620958751393534,,,,,0.4897745242828162,0.7038626609442059,0.6719766430376984,1.0,0.6942148760330579,,,,,0.5181523647200689,4,240.20661626414426
clarks-thebreezeandi-merrittjlandersw-1958-28783122,/scratch/rht9410/jtd_data/clarks-thebreezeandi-merrittjlandersw-1958-28783122.wav,377,378,94,108,0.269,ok,1.0,0.9639725065033098,1.0,1.0,,,,,0.614363264795058,0.8144329896907216,0.7975345414478279,0.0,0.7596153846153846,,,,,0.732324052177853,4,204.58921403251534
coreac-aliceinwonderland-gomezemotianp-2010-0439297c,/scratch/rht9410/jtd_data/coreac-aliceinwonderland-gomezemotianp-2010-0439297c.wav,479,488,159,217,0.4,ok,0.9903948772678762,0.8948120899409505,1.0,0.9978858350951374,,,,,0.4441795394625868,0.6538461538461539,0.5939096384842655,0.0,0.5666666666666667,,,,,0.4407242088863802,3,176.66163748487116
coreac-autumnleaves-patituccijweckld-1989-9f758273,/scratch/rht9410/jtd_data/coreac-autumnleaves-patituccijweckld-1989-9f758273.wav,575,464,144,195,0.312,ok,0.8427419354838709,0.6887972314359938,0.0,0.6721014492753623,,,,,0.1476562387253456,0.0685358255451713,0.0579693992432453,0.0,0.1420765027322404,,,,,0.2228834028734121,4,288.863148906683
coreac-bessiesblues-patituccijweckld-1989-a90b01bb,/scratch/rht9410/jtd_data/coreac-bessiesblues-patituccijweckld-1989-a90b01bb.wav,275,163,69,105,0.156,ok,0.7371007371007371,0.7108788944027035,0.0,0.5859375,,,,,0.4577411302982591,0.7088607594936708,0.6919484560747867,0.0,0.5957446808510638,,,,,0.5838885329322138,4,233.9535484790959
coreac-bluesconnotation-hollanddaltschulb-1970-e47ebd35,/scratch/rht9410/jtd_data/coreac-bluesconnotation-hollanddaltschulb-1970-e47ebd35.wav,916,893,229,372,0.766,ok,0.7540983606557378,0.64777847025331,0.0,0.693422519509476,,,,,0.1328258371694869,0.221465076660988,0.1881117219405132,0.0,0.3176795580110497,,,,,0.0908207829011109,4,241.74821748454602
coreac-butbeautifulpart2-gomezemotianp-2010-e2bf15c3,/scratch/rht9410/jtd_data/coreac-butbeautifulpart2-gomezemotianp-2010-e2bf15c3.wav,248,247,62,64,0.301,ok,0.9305263157894738,0.8627347219915789,1.0,0.9327731092436976,,,,,0.4419386850632095,0.7704918032786884,0.7084078260698757,0.0,0.8225806451612904,,,,,0.6282779200450923,4,127.38183723264369
coreac-diane-gomezemotianp-2010-cac6581e,/scratch/rht9410/jtd_data/coreac-diane-gomezemotianp-2010-cac6581e.wav,296,296,74,102,0.203,ok,1.0,0.9312749621640922,1.0,1.0,,,,,0.5472521566385753,0.7305389221556887,0.6855418860751233,0.0,0.6288659793814433,,,,,0.5670683306921549,4,190.84783040906606
coreac-hothouse-gomezemotianp-2010-f057e6f6,/scratch/rht9410/jtd_data/coreac-hothouse-gomezemotianp-2010-f057e6f6.wav,434,434,108,133,0.281,ok,1.0,0.9497582216578236,1.0,1.0,,,,,0.4773838831241993,0.8362068965517242,0.7942887575372649,1.0,0.7578125,,,,,0.6568622349891741,4,222.95530719358064
coreac-howhesingsnowhe-vitoumhaynesr-1968-b4972ab0,/scratch/rht9410/jtd_data/coreac-howhesingsnowhe-vitoumhaynesr-1968-b4972ab0.wav,676,632,226,309,0.51,ok,0.8813825608798115,0.8351101711790646,1.0,0.849772382397572,,,,,0.3530410579630975,0.4367816091954022,0.4078836563467716,0.0,0.4337748344370861,,,,,0.260593335294315,3,216.373130488073
coreac-littlerootietootie-gomezemotianp-2010-d3f30523,/scratch/rht9410/jtd_data/coreac-littlerootietootie-gomezemotianp-2010-d3f30523.wav,501,503,126,172,0.428,ok,0.9804727646454264,0.9181324452170956,1.0,0.9774127310061602,,,,,0.4898066590092493,0.7999999999999999,0.7635152015123874,0.0,0.7083333333333334,,,,,0.587511978277424,4,182.9854479328388
coreac-matrix-vitoumhaynesr-1968-c2f9300b,/scratch/rht9410/jtd_data/coreac-matrix-vitoumhaynesr-1968-c2f9300b.wav,769,776,193,249,0.397,ok,0.986648865153538,0.8753799880306803,0.0,0.949468085106383,,,,,0.3865694997127001,0.1542056074766355,0.1450892443026726,0.0,0.1701244813278008,,,,,0.3220578646961236,4,289.7277547252518
coreac-myoneandonlylove-patituccijweckld-1989-3bb85aae,/scratch/rht9410/jtd_data/coreac-myoneandonlylove-patituccijweckld-1989-3bb85aae.wav,255,144,64,58,0.19,ok,0.3636363636363636,0.3416892007365069,0.0,0.2821576763485477,,,,,0.1658092844180724,0.1391304347826087,0.1349733763140945,0.0,0.4333333333333333,,,,,0.2120406209202941,4,178.89426841482833
coreac-nowhebeatsthedrums-vitoumhaynesr-1968-d5c76003,/scratch/rht9410/jtd_data/coreac-nowhebeatsthedrums-vitoumhaynesr-1968-d5c76003.wav,652,624,163,163,0.428,ok,0.9773828756058158,0.9282994293020748,1.0,0.9541864139020536,,,,,0.4377442522237764,1.0,0.9506745861498522,1.0,1.0,,,,,0.8007002668319837,4,225.08664232166538
coreac-offthecuff-gomezemotianp-2010-92201520,/scratch/rht9410/jtd_data/coreac-offthecuff-gomezemotianp-2010-92201520.wav,560,595,140,197,0.357,ok,0.970189701897019,0.789733025058994,1.0,0.9172535211267606,,,,,0.3234233545498708,0.1165644171779141,0.1073790048416041,0.0,0.1145833333333333,,,,,0.2827713336201688,4,263.3769668147828
coreac-perisscope-gomezemotianp-2010-f8c0d376,/scratch/rht9410/jtd_data/coreac-perisscope-gomezemotianp-2010-f8c0d376.wav,390,391,97,98,0.255,ok,0.9986577181208054,0.9634385469854334,1.0,0.9973190348525468,,,,,0.5497935335786659,0.9946524064171124,0.9567372041791752,1.0,0.9893617021276596,,,,,0.8397009541706874,4,216.95457769387386
coreac-pucciniswalk-gomezemotianp-2010-f73a790c,/scratch/rht9410/jtd_data/coreac-pucciniswalk-gomezemotianp-2010-f73a790c.wav,454,411,114,127,0.312,ok,0.9443099273607748,0.8720346832969076,1.0,0.896551724137931,,,,,0.4440578905917038,0.2017543859649122,0.1883002305933886,0.0,0.1932773109243697,,,,,0.3921132198116447,4,236.318715889692
coreac-sambayantra-vitoumhaynesr-1970-b6f28180,/scratch/rht9410/jtd_data/coreac-sambayantra-vitoumhaynesr-1970-b6f28180.wav,386,386,97,118,0.191,ok,1.0,0.9342573609865348,1.0,1.0,,,,,0.5067028557726939,0.7586206896551724,0.7210946116527596,0.0,0.6875,,,,,0.6006140074097953,4,263.6145401746757
coreac-soinlove-patituccijweckld-1989-1c171b01,/scratch/rht9410/jtd_data/coreac-soinlove-patituccijweckld-1989-1c171b01.wav,483,278,121,154,0.294,ok,0.7227586206896552,0.6576279617211056,0.0,0.5577342047930284,,,,,0.3235092105428524,0.7908745247148289,0.74513836740298,0.0,0.7297297297297297,,,,,0.5253887804747568,4,290.5480411704478
coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0,/scratch/rht9410/jtd_data/coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0.wav,145,146,48,49,0.174,ok,0.9888475836431226,0.9329519316817888,1.0,0.9851851851851852,,,,,0.5813492837476795,0.9662921348314608,0.918848876740615,0.0,0.9777777777777776,,,,,0.7850554171586942,3,138.4355129586208
coreac-sophisticatedlady-patituccijweckld-1989-85cb4d64,/scratch/rht9410/jtd_data/coreac-sophisticatedlady-patituccijweckld-1989-85cb4d64.wav,250,139,62,65,0.237,ok,0.5706371191135733,0.5344509843685101,0.0,0.4401709401709401,,,,,0.3192426749036547,0.6101694915254238,0.5797343960105588,0.0,0.6833333333333333,,,,,0.4848894243790433,4,160.3766531539758
coreac-spain-patituccijweckld-1989-5c5694dd,/scratch/rht9410/jtd_data/coreac-spain-patituccijweckld-1989-5c5694dd.wav,237,274,59,74,0.136,ok,0.9240780911062908,0.6579155676475718,0.0,0.7096774193548387,,,,,0.2235295701795159,0.0,4.0420749727972815e-05,0.0,0.1269841269841269,,,,,0.5108889087491165,4,285.46152679884204
