track_id,ft_beat_F-measure,ft_downbeat_F-measure,ft_beat_Cemgil,ft_downbeat_Cemgil,bt_beat_F-measure,bt_downbeat_F-measure,bt_beat_Cemgil,bt_downbeat_Cemgil,mm_beat_F-measure,mm_downbeat_F-measure,mm_beat_Cemgil,mm_downbeat_Cemgil,delta_ft_minus_bt_beat_F-measure,delta_ft_minus_mm_beat_F-measure,delta_ft_minus_bt_downbeat_F-measure,delta_ft_minus_mm_downbeat_F-measure,delta_ft_minus_bt_beat_Cemgil,delta_ft_minus_mm_beat_Cemgil,delta_ft_minus_bt_downbeat_Cemgil,delta_ft_minus_mm_downbeat_Cemgil
evansb-makesomeonehappy-israelscbunkerl-1966-68b2479f,0.9982425307557118,0.3867069486404834,0.968870350801749,0.3751075169408288,0.9463955637707948,0.3246753246753247,0.919005724237254,0.3179549224522116,0.6666666666666666,0.0,0.6582750284398445,1.8335401728857161e-09,0.051846966984916976,0.33157586408904516,0.06203162396515871,0.3867069486404834,0.049864626564494974,0.31059532236190446,0.0571525944886172,0.3751075151072886
evansb-makesomeonehappy-israelscwisea-1966-1f814ca8,0.9630872483221478,0.6120689655172414,0.8997956507117342,0.5799584088083044,0.9001814882032667,0.8502994011976047,0.8600357270038239,0.8080114549929012,0.6278026905829597,0.4864864864864865,0.6113420835800613,0.4595783483388099,0.06290576011888105,0.3352845577391881,-0.23823043568036328,0.12558247903075492,0.03975992370791026,0.2884535671316729,-0.22805304618459676,0.12038006046949451
evansb-minority-jonessjoep-1958-687403fa,1.0,0.2613333333333333,0.9763147967149284,0.2553510520827972,1.0,0.0,0.9602215008369642,7.856351510581561e-09,0.6626686656671664,0.0,0.6597730910579603,4.279677330901287e-09,0.0,0.3373313343328336,0.2613333333333333,0.2613333333333333,0.016093295877964153,0.31654170565696804,0.25535104422644567,0.25535104780311985
evansb-myromance-johnsonmlabarberaj-1980-0ac208d7,0.9727272727272728,0.40625,0.8754413801619333,0.3749479775071317,0.9953917050691244,0.0,0.9429839626657008,2.668575047979543e-09,0.6265060240963856,0.5365853658536585,0.6120220559188372,0.5219159008038863,-0.02266443234185167,0.3462212486308872,0.40625,-0.13033536585365846,-0.06754258250376755,0.2634193242430961,0.3749479748385567,-0.14696792329675457
evansb-myromance-johnsonmlabarberaj-1980-b98b5cbc,0.9801980198019802,0.3725490196078431,0.9263716190808952,0.3525112856113833,0.7976190476190476,0.0,0.7600007506320681,2.0414211686197065e-08,0.6357615894039735,0.0,0.6251767773296347,0.0011996937307164,0.18257897218293262,0.34443643039800664,0.3725490196078431,0.3725490196078431,0.1663708684488271,0.30119484175126043,0.3525112651971716,0.3513115918806669
evansb-myromancefive-johnsonmlabarberaj-1980-660626b4,1.0,0.3174603174603174,0.961968833014746,0.3088464485670399,0.9953917050691244,0.0,0.9518600376313574,4.725429741212358e-09,0.6625766871165644,0.6829268292682926,0.6558618175221513,0.6799251936074489,0.004608294930875556,0.33742331288343563,0.3174603174603174,-0.36546651180797524,0.010108795383388602,0.30610701549259467,0.3088464438416102,-0.37107874504040894
evansb-nardis-gomezemorellm-1969-d96b0901,0.9977924944812362,0.542713567839196,0.96223281152053,0.5258449663610154,0.9977924944812362,0.9572649572649572,0.9336666046540756,0.938090967002774,0.6588235294117647,0.119047619047619,0.6422485852551767,0.0989222740926921,0.0,0.3389689650694715,-0.4145513894257612,0.423665948791577,0.02856620686645439,0.3199842262653533,-0.41224600064175854,0.4269226922683233
evansb-oneforhelen-gomezedejohnettej-1967-94d467a6,0.9568627450980391,0.4280442804428044,0.8967648981089977,0.4114481382600221,0.8774193548387097,0.8088235294117647,0.8147317129460206,0.752499234907199,0.6105263157894737,0.5894736842105264,0.6004119535312694,0.5776817234794835,0.07944339025932945,0.34633642930856545,-0.3807792489689603,-0.16142940376772197,0.08203318516297708,0.2963529445777283,-0.341051096647177,-0.16623358521946147
evansb-perisscope-gomezemorellm-1973-0e6c1811,1.0,0.4156862745098039,0.9725776953046922,0.4020779114729275,1.0,0.0,0.975953693986579,8.11787879454177e-38,0.7299270072992701,0.0,0.7266795620331309,5.283086509764554e-11,0.0,0.27007299270072993,0.4156862745098039,0.4156862745098039,-0.0033759986818868715,0.2458981332715613,0.4020779114729275,0.40207791142009663
evansb-perisscope-lafarosmotianp-1961-1d09ff52,0.9986320109439124,0.3287671232876712,0.948485721953138,0.3112090061760383,0.9986320109439124,0.0,0.9567293886512924,8.048259499409454e-55,1.0,1.0,0.9922037896179896,0.9916698768271102,0.0,-0.001367989056087593,0.3287671232876712,-0.6712328767123288,-0.008243666698154462,-0.043718067664851645,0.3112090061760383,-0.6804608706510719
evansb-somedaymyprincewillcome-gomezedejohnettej-1966-3e032117,1.0,0.5035971223021583,0.9515783558468172,0.4837951784564097,1.0,0.2938388625592417,0.9631143732929618,0.2826855520243982,0.8321678321678322,0.2339181286549707,0.8248570722193262,0.2318241330603036,0.0,0.1678321678321678,0.20975825974291656,0.26967899364718756,-0.01153601744614463,0.1267212836274909,0.20110962643201147,0.25197104539610604
evansb-stareyes-gomezemannes-1966-6efdf545,1.0,0.9393939393939392,0.973825909853892,0.9136260149907924,0.9959839357429718,1.0,0.9633452515289356,0.9687792063638926,1.0,1.0,0.990251448276724,0.993052665849498,0.004016064257028162,0.0,-0.060606060606060774,-0.060606060606060774,0.010480658324956371,-0.01642553842283201,-0.05515319137310015,-0.0794266508587056
evansb-swedishpastry-israelscbunkerl-1963-36012ad1,0.9866156787762904,0.7231638418079096,0.945621994955844,0.6984483090285972,0.992337164750958,0.9384615384615383,0.9547341391280124,0.8866882892196725,0.9961685823754788,1.0,0.9685823870548732,0.9664006521167814,-0.005721485974667595,-0.009552903599188367,-0.21529769665362875,-0.2768361581920904,-0.009112144172168435,-0.022960392099029225,-0.18823998019107524,-0.26795234308818416
evansb-ttttwelvetonetune-gomezemorellm-1971-360d7a67,1.0,1.0,0.9758711700600404,0.9707927234245948,0.6948356807511737,1.0,0.667694859254556,0.9529144006959274,0.6634615384615384,0.6666666666666666,0.6610948643358329,0.6618405073688393,0.30516431924882625,0.33653846153846156,0.0,0.33333333333333337,0.30817631080548447,0.31477630572420756,0.017878322728667406,0.3089522160557555
evansb-turnoutthestars-gomezedejohnettej-1967-7e8112aa,1.0,0.409090909090909,0.9189920615896884,0.373427957167347,0.9716312056737588,0.1702127659574468,0.9370851824901296,0.1644396398929009,0.9448275862068966,0.9444444444444444,0.9292633338955232,0.9328397731025608,0.028368794326241176,0.05517241379310345,0.2388781431334622,-0.5353535353535355,-0.01809312090044124,-0.0102712723058348,0.2089883172744461,-0.5594118159352138
